Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,sw_in,lw_in,d,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
29-May-2017 22:00:00,101.45,NaN,NaN,NaN,328.625783333333,5.6285,8.36325566666667,312.867233333333,4.60816666666667,1.02466666666667,6.41934316666667,92.3833333333333,869.181316666667,0,0.679575636444657,0.000147227826740163,5.57502805800141e-05,9.14775461601494e-05,0.715445417074107
29-May-2017 23:00:00,101.183333333333,NaN,NaN,NaN,328.453,4.78483333333333,1.23854033333333,313.7541,4.564,0.852166666666667,1.37001628333333,92.7833333333333,869.096016666667,0,0.683129404634844,0.000105689307570174,4.43337074502779e-05,6.13556001198958e-05,0.715367949472414
30-May-2017 00:00:00,101.05,NaN,NaN,NaN,327.7319,4.82766666666667,0,306.143566666667,4.86183333333333,0.631833333333333,0.422473076833333,92.1166666666667,868.738383333333,0,0.688071796177137,0,0,0,0.715290481870721
30-May-2017 01:00:00,101.316666666667,NaN,NaN,NaN,326.9002,4.97433333333333,0,302.7355,4.89766666666667,0.349,0.232936580666667,93,868.221283333333,0,0.693038275551612,0.000103262796139461,6.09231114999602e-05,4.23396846395008e-05,0.716515529854839
30-May-2017 02:00:00,101.566666666667,NaN,NaN,NaN,327.834166666667,6.395,0.32247315,307.181366666667,4.85283333333333,0.572833333333333,0.831715183333333,94.1833333333333,867.649,0,0.698595431575262,0.000806202945470432,0.000523863260829785,0.000282339684640647,0.717740577838957
30-May-2017 03:00:00,101.633333333333,NaN,NaN,NaN,328.692983333333,6.66716666666667,4.78547133333333,319.785933333333,4.184,0.636,3.6996715,94.3,867.375833333333,0,0.71187087759161,0.000699848168010249,0.000464774268109977,0.000235073899900271,0.718965625823075
30-May-2017 04:00:00,101.9,NaN,NaN,NaN,328.6899,6.36016666666667,22.8479833333333,324.437966666667,4.39783333333333,0.633833333333333,16.311837,94.3,867.18115,0,0.726000362810902,0.000156304715239457,0.000116057984419967,4.024673081949e-05,0.720190673807193
30-May-2017 05:00:00,101.466666666667,NaN,NaN,NaN,329.230816666667,5.77933333333333,60.7933733333333,329.552916666667,4.25816666666667,0.572166666666667,44.6954966666667,95.2666666666667,866.9865,0,0.737770694278125,0.000411561534189786,0.00032322483814005,8.83366960497369e-05,0.72141572179131
30-May-2017 06:00:00,101.833333333333,NaN,NaN,NaN,329.82755,5.25333333333333,139.9611,332.614133333333,4.47566666666667,0.7005,101.496311666667,94.35,866.7321,0,0.74617857019242,0.000370516476650664,0.00030051647666005,6.9999999990614e-05,0.722640769775428
30-May-2017 07:00:00,102.383333333333,NaN,NaN,NaN,306.686273200627,5.213,236.499716666667,336.059833333333,4.445,0.897,171.01615,92.3666666666667,866.600183333333,NaN,0.752184659905644,0.000536989167969296,0.000482408729690178,5.45804382791176e-05,0.723865817759546
30-May-2017 08:00:00,102.1,NaN,NaN,NaN,307.544620179646,4.82383333333333,302.916,338.746633333333,4.97183333333333,1.09616666666667,223.43705,91.65,866.595466666667,NaN,0.755732739303192,0.000593085110370339,0.000583639545029655,9.44556534068395e-06,0.725090865743664
30-May-2017 09:00:00,101.9,NaN,NaN,NaN,309.441725927678,5.02116666666667,458.142083333333,345.37695,4.4505,1.53783333333333,330.317883333333,88.3,866.604683333333,NaN,0.757498018770527,0.000402115968840008,0.000408112980240276,0,0.726315913727782
30-May-2017 10:00:00,101.4,NaN,NaN,NaN,309.240577065003,5.2565,511.6095,347.259133333333,4.64683333333333,1.50233333333333,374.229983333333,88.2833333333333,866.561483333333,NaN,0.758043223399413,0.000258975118729722,0.000264417695480006,0,0.7275409617119
30-May-2017 11:00:00,101.916666666667,NaN,NaN,NaN,309.268619500525,5.193,598.747183333333,348.696883333333,4.533,1.51466666666667,445.209833333333,88.1,866.3448,NaN,0.758187350233921,0.00018959052639002,0.000126304715239712,6.32858111503083e-05,0.728766009696018
